Name,ID,Hand,Type
Felix Aberouette,{69E21D80-46CD-41A8-80E1-B6B7554FD3B7},R,Hitter
Zachary Blankenship,{873AF592-4CDC-4EC8-89C0-B28DF1238E94},L,Pitcher
Marcos Castillo,{DC61CCE5-A9AB-429A-92A6-9DBC2B15BD2D},R,Hitter
Cameron Collett,{2B656272-D1F0-41B6-A5AC-F0912394B045},R,Hitter
Chris Davis,{D2FC70B1-8DA9-4E98-9714-8FDE69B7D178},L,Hitter
Zach Devon,{98E41D47-7CA4-4C8D-B160-03E914D16C24},R,Pitcher
Luke Fennelly,{454DF173-829A-40BD-8967-4014187B9FDB},R,Hitter
Travious Ford,{01ADC61B-57BE-4F8E-A1A1-1AAF23734972},R,Hitter
Jesse Galindo,{68DE3816-BADD-45BD-8BA3-3C0613EF0741},R,Pitcher
Wellington Guzman,{65094394-477C-4D04-8B78-629E7EF0D43C},R,Hitter
Lyle Hibbitts,{EB6EADA9-C794-4148-95E3-49AF1045CE8C},R,Pitcher
Trevor Jackson,{FEA25646-DE4A-409E-83DB-9608ECDD8039},R,Pitcher
James Krick,{4D2438D2-E6DF-478F-A0B4-D888902D6219},R,Pitcher
Dakota McFadden,{9366A02D-3290-48BC-BE05-0A7EFF47C8C8},R,Hitter
Erick Ramirez,{31846EE2-7F47-4DFC-95FB-B5E61A8894DD},R,Hitter
Nick Shaw,{ED2BD8C4-8AC5-470D-8AA3-6AD965E697EB},L,Pitcher
Austin Shea,{C24109F5-7749-4273-A305-D3DDF0D06B64},R,Pitcher
JD Stubbs,{9A2B554B-7377-48A5-AB1F-0E28D43F1924},L,Hitter
Ryan Sullivan,{CE6C1C32-E039-4A02-A389-34D49448EC27},R,Hitter
Eric Whitfield,{8F00AB2E-5866-4F93-BD46-A2D924145908},R,Hitter
Sam Brace,{B5668429-A0F9-45D4-8C66-CD7C4FFB5F42},L,Pitcher
Joe Burke,{AC0C198C-CD66-464E-A7C1-A2880A3AAD14},R,Hitter
Scott Combs,{D9CAA515-6F79-4012-AB62-9C8E2C9651E3},R,Hitter
Michael DeSanti,{30F3DF1F-1D47-4F22-9A52-DAD64FB9294F},R,Pitcher
Luke Drummond,{CB9FF50B-FE45-400C-8147-72A15DA264A9},R,Pitcher
Derrick Edington,{ACB034BF-4AC1-45CB-B312-7A579F85A34C},R,Pitcher
Christian Fedko,{259C3610-DC96-4877-9E96-9AB3C082624D},R,Hitter
Carson Ferry,{68F60F8B-E409-4465-BFA9-B0FB003D218A},L,Pitcher
Whit Hughes,{1EA02812-0B56-4D3B-9A47-56E1BCA9B17E},R,Hitter
Nicholas Kreutzer,{8C2E1965-82D8-4F3F-9F7C-BB54E3D28162},L,Hitter
Sean Lawlar,{35DACFA1-92A0-472C-B6CD-31A3B331B013},L,Hitter
Noah Marcoux,{E7F7F7BE-EA8B-48BA-9480-CCC1C90E30D4},L,Hitter
Harry Orth,{6EA6ACCB-4141-4011-8E05-9CC769D01518},R,Pitcher
Christian Perez,{618A9832-7BC4-42E1-84FE-566165CDA790},R,Hitter
Blake Porter,{89C48E48-51DC-4694-A5C9-0B6728225332},L,Hitter
Alex Pup,{3A9E4F47-650C-448B-8BBF-0DBCE1749857},R,Hitter
Yadi Rivera,{7803E714-7C53-4332-826D-7191185D08CC},L,Hitter
Bryant Shellenbarger,{EBC2440C-A761-4354-83B8-713E365C618D},L,Hitter
Donovan Thacker,{09323D18-7CE8-439D-B1DB-21B7EAE12DA8},R,Pitcher
Andrew Verbrugge,{24B979AF-AB83-4561-87E7-6EF86B67F811},R,Pitcher
Luis Atiles,{C8A7EEC1-8486-4B78-A0E9-99EE70B115EF},R,Hitter
Perry Bewley,{50D18B1E-F6B7-4C54-A45C-BE79A38F58E6},R,Pitcher
Malek Bolin,{B2BE01C2-ABFD-4749-81AE-A9D2399967AA},R,Hitter
Alexander Brunson,{DE4FEBFD-BB09-4C5E-AFD3-4360FBA5FF9C},R,Hitter
Austin Calopietro,{A66EFF9F-7CA3-4EDB-8766-91EE3EF34F35},R,Pitcher
Bryan Camacho,{8B8BFB4F-EF9A-4C0F-85C7-B442E8AB4F71},R,Pitcher
Leandy Castro,{8A415AED-0D66-4F48-AA0C-88F18B4B81B1},R,Hitter
Noah Childress,{F516FCF5-56AE-42B8-9FF7-FB79D9F2A02F},R,Hitter
Adam De La Cruz,{D7B8852A-329B-4C52-944B-D61C69055255},R,Hitter
Jake Fiorito,{351B919D-F666-4A64-B333-4D0BBCC69E94},R,Pitcher
Drue Galassi,{9CE40343-8F6D-478D-A38D-1DC01B711780},L,Hitter
Jonathan Hodo,{4D4D326E-949E-49F9-8F03-C57348C5772B},R,Hitter
Kevin Lambert,{7859E078-B15D-4541-AE27-E222EBF18840},R,Hitter
Jean Muntaner,{B1F2B6B5-F74F-48B2-81E1-CADEE2C16178},L,Pitcher
Matt Parkinson,{98AD844E-0FE5-47A5-BE7A-135F04A9E4B5},R,Hitter
Alex Reinoehl,{1E6D65EA-279D-43A5-85F7-6B135666B89C},R,Pitcher
Adam Riggleman,{75ABF526-579F-4286-9B6D-5579D862411E},R,Pitcher
Kenny Rodriguez,{C9F2CFC7-9307-4859-A664-D46A5A41E76E},R,Hitter
Ari Sechopoulos,{0F3EAF25-C150-4E69-8B6F-FB5F3E610B66},L,Hitter
Keon Taylor,{71D3C957-1A45-4316-BF10-E4392A3129B4},R,Pitcher
Connor Bagnieski,{095A00B3-F5C0-4D1F-8E01-442CB386CAF6},L,Hitter
Kyle Bischoff,{70ACE669-E5A5-4302-9050-982E4F54AEE2},R,Pitcher
Brant Brown,{6E45B9F9-34BC-4FFD-A88B-68FF41F3E391},R,Pitcher
Elijah Brown,{63923B7D-7A8D-44E8-82B8-07AA65EB3573},L,Hitter
Nick Caruso,{82A56CCC-83FA-400F-B980-4B44273F6645},R,Hitter
Christian Dearman,{294429CF-D352-4168-92F2-3B5D43486B82},R,Pitcher
Buddy Dewaine Jr.,{F94A051B-88A0-4825-AB08-4BF37A05D64B},R,Hitter
Connor Emmet,{B30BC2D0-7615-45AB-B6E6-DF3BA91FADBA},L,Hitter
Duncan Hewitt,{4A02BC2A-B1C2-4230-BEDB-39C602A0CA79},R,Hitter
Dawson Lane,{6417977A-5064-4F12-A267-6756FCF04518},L,Pitcher
Collin Ledbetter,{13924F11-3425-4E05-A6EB-3D2C1F40FB6A},R,Pitcher
Bryan Leef,{15F7558E-0E11-4207-842A-C389CE9AA09D},R,Hitter
Sam Loda,{69BC859E-A591-4CC8-A51B-785036261D9C},R,Hitter
Mitch Moralez,{E8CC83B4-2542-4F1E-812D-1F65A2FF0554},R,Hitter
Jack Parisi,{591F5341-946D-4D52-B27E-52B035285E73},R,Pitcher
Houston Parker,{862BF1E4-DE16-41BB-A62B-5B89714531A9},R,Hitter
Tyler Ruetschle,{623CE25A-0BA6-4879-98E8-28D84FF2EAAF},R,Pitcher
Tanner Thomas,{637DB609-A5EA-44E5-9396-B3FFC66BF948},L,Hitter
Greg Vaughn Jr.,{7ABF2060-46C0-4497-82B4-6165D1636C12},R,Hitter
Rafi Vazquez,{F4D7B43C-1BB5-4F9D-AEEA-C46E2DA6A668},R,Pitcher
Wade Weinburger Jr.,{C00996D4-56AE-4543-89E9-281B08DF5C90},L,Hitter
