Player,Team,Date,Opponent,Position,Game,AB,R,H,RBI,BB,SO,2B,3B,HR,SB,CS,HBP,SF
Juan Lopez-Rios,DH,5/20/2022,UU,4,1,3,0,1,0,1,0,,,,,2,,
Blake Porter,DH,5/20/2022,UU,8,1,4,1,1,2,0,2,,,1,,,,
Griffin Schneider,DH,5/20/2022,UU,9,1,2,0,0,0,1,1,,,,,,1,
Joe Burke,DH,5/20/2022,UU,3,1,3,0,0,0,1,0,,,,,,,
Andrew Bayard,DH,5/20/2022,UU,7,1,3,0,0,0,0,3,,,,,,,
Sean Lawlar,DH,5/20/2022,UU,7,1,1,0,0,0,0,0,,,,,,,
Nicholas Kreutzer,DH,5/20/2022,UU,0,1,3,0,0,0,0,2,,,,,,,
Michael Luker,DH,5/20/2022,UU,0,1,1,0,0,0,0,0,,,,,,,
Chris De Los Santos,DH,5/20/2022,UU,5,1,3,0,0,0,0,1,,,,,,,
Walker Paz,DH,5/20/2022,UU,5,1,1,0,0,0,0,1,,,,,,,
Whit Hughes,DH,5/20/2022,UU,2,1,3,1,1,0,0,1,,,,,,,
Alex Pup,DH,5/20/2022,UU,6,1,3,0,2,0,0,1,,,,,,,
Drue Galassi,UU,5/20/2022,DH,8,1,4,2,2,1,0,0,,,,,,,
Malek Bolin,UU,5/20/2022,DH,3,1,3,1,2,0,0,1,1,,,,,,
EJ Ranel,UU,5/20/2022,DH,3,1,1,1,0,0,0,0,,,,,,,
Ari Sechopoulos,UU,5/20/2022,DH,7,1,4,1,2,2,0,1,,,,,,,
Leandy Castro,UU,5/20/2022,DH,9,1,3,1,1,0,1,1,,,,,,,
Noah Childress,UU,5/20/2022,DH,5,1,3,1,2,4,0,0,,,1,,,,
Adam De La Cruz,UU,5/20/2022,DH,5,1,1,0,0,0,0,0,,,,,,,
Kevin Lambert,UU,5/20/2022,DH,6,1,4,0,0,0,0,0,,,,,,,
Nick Hernandez,UU,5/20/2022,DH,0,1,4,0,1,0,0,2,,,,,,,
Duncan Hewitt,UU,5/20/2022,DH,2,1,4,0,1,0,0,2,,,,,,,
Jonathan Hodo,UU,5/20/2022,DH,4,1,3,1,0,0,0,0,,,,,,,
Tylor Frailey,BB,5/21/2022,WM,8,1,4,2,1,2,1,0,1,,,,,,
Cody Stevenson,BB,5/21/2022,WM,4,1,1,0,0,0,2,0,,,,,,1,
Ray Peng,BB,5/21/2022,WM,4,1,1,0,0,0,0,0,,,,,,,
Marques Paige,BB,5/21/2022,WM,3,1,3,0,1,1,1,1,1,,,,,,
Ryan Sullivan,BB,5/21/2022,WM,0,1,4,0,1,1,0,1,1,,,,,,
Eric Whitfield,BB,5/21/2022,WM,9,1,3,0,0,0,0,1,,,,,,,
Travious Ford,BB,5/21/2022,WM,9,1,1,0,0,0,0,1,,,,,,,
Cameron Collett,BB,5/21/2022,WM,6,1,4,1,2,0,0,1,,,,,,,
Neifi Mercedes,BB,5/21/2022,WM,5,1,4,1,0,0,0,0,,,,1,,,
Omar Ortiz,BB,5/21/2022,WM,2,1,1,1,0,0,1,1,,,,,,2,
SeyJuan Lawrence,BB,5/21/2022,WM,7,1,4,1,1,1,0,1,,,,,,,
Tanner Thomas,WM,5/21/2022,BB,7,1,4,0,1,0,0,1,,,,,,,
Nick Caruso,WM,5/21/2022,BB,2,1,4,0,1,0,0,0,,,,,,,
Wade Weinburger Jr.,WM,5/21/2022,BB,8,1,4,0,1,0,0,2,,,,,1,,
Trent Bauer,WM,5/21/2022,BB,0,1,3,1,0,0,1,0,,,,,,,
Greg Vaughn Jr.,WM,5/21/2022,BB,9,1,3,1,1,0,0,1,,,,,,,
Dakota McFadden,WM,5/21/2022,BB,3,1,3,1,1,0,0,2,,,,1,,,
Buddy Dewaine Jr.,WM,5/21/2022,BB,5,1,2,1,1,1,1,1,,,,,,,
Houston Parker,WM,5/21/2022,BB,4,1,3,0,1,1,0,0,,,,,,,
Keshawn Lynch,WM,5/21/2022,BB,6,1,2,0,1,0,1,1,,,,,,,
Nick Caruso,WM,5/26/2022,DH,3,1,5,2,3,0,0,0,1,,,,,,
Tanner Thomas,WM,5/26/2022,DH,8,1,4,2,1,0,1,1,,,,,,,
Trent Bauer,WM,5/26/2022,DH,2,1,3,1,2,1,2,0,,,,,,,
Dakota McFadden,WM,5/26/2022,DH,0,1,5,1,0,1,0,0,,,,,,,
Houston Parker,WM,5/26/2022,DH,4,1,5,0,1,2,0,0,,,,,,,
Gunner Rainey,WM,5/26/2022,DH,7,1,2,0,1,0,2,0,1,,,,,,
Buddy Dewaine Jr.,WM,5/26/2022,DH,5,1,3,0,0,1,1,2,,,,,,,
Elijah Brown,WM,5/26/2022,DH,9,1,3,0,0,1,1,0,,,,1,,,
Keshawn Lynch,WM,5/26/2022,DH,6,1,4,0,0,0,0,1,,,,,,,
Alex Pup,DH,5/26/2022,WM,6,1,4,2,3,0,1,0,1,,,1,,,
Blake Porter,DH,5/26/2022,WM,8,1,4,0,1,0,1,1,,,,1,,,
Joe Burke,DH,5/26/2022,WM,3,1,4,0,1,0,0,1,,,,,,1,
Sean Lawlar,DH,5/26/2022,WM,0,1,3,0,0,2,2,1,,,,,,,
Griffin Schneider,DH,5/26/2022,WM,9,1,4,0,0,0,0,0,,,,,,,
Andrew Bayard,DH,5/26/2022,WM,7,1,4,1,0,0,0,1,,,,,,,
Chris De Los Santos,DH,5/26/2022,WM,5,1,3,0,0,0,1,1,,,,,,,
Whit Hughes,DH,5/26/2022,WM,2,1,4,0,1,0,0,2,,,,,,,
Walker Paz,DH,5/26/2022,WM,4,1,4,0,1,1,0,3,,,,,,,
Tylor Frailey,BB,5/27/2022,UU,8,1,3,0,1,1,1,0,,,,,1,,
Cody Stevenson,BB,5/27/2022,UU,4,1,2,0,0,0,1,1,,,,,,,
Marques Paige,BB,5/27/2022,UU,3,1,3,0,0,0,1,1,,,,,,,
Ray Peng,BB,5/27/2022,UU,3,1,1,0,0,0,0,1,,,,,,,
Ryan Sullivan,BB,5/27/2022,UU,0,1,2,1,0,0,0,0,2,,,1,,,
Eric Whitfield,BB,5/27/2022,UU,9,1,3,0,1,0,0,0,,,,,,,
Travious Ford,BB,5/27/2022,UU,9,1,1,0,0,0,0,0,,,,,,,
Cameron Collett,BB,5/27/2022,UU,6,1,3,1,3,1,1,0,,,,1,,,
Neifi Mercedes,BB,5/27/2022,UU,5,1,2,0,1,0,2,0,,,,1,,,
Omar Ortiz,BB,5/27/2022,UU,2,1,3,0,0,0,0,2,,,,,,,
SeyJuan Lawrence,BB,5/27/2022,UU,7,1,2,0,0,0,1,0,,,,,,,
Drue Galassi,UU,5/27/2022,BB,9,1,2,1,1,0,2,1,1,,,,,,
Nick Hernandez,UU,5/27/2022,BB,5,1,0,0,0,0,0,0,,,,,,,
Erick Ramirez,UU,5/27/2022,BB,5,1,4,0,1,2,0,1,1,,,,,,
Malek Bolin,UU,5/27/2022,BB,3,1,3,1,2,1,1,1,,,,,,,
Adam De La Cruz,UU,5/27/2022,BB,3,1,0,0,0,0,0,0,,,,,,,
Ari Sechopoulos,UU,5/27/2022,BB,8,1,3,0,0,0,1,1,,,,,,,
Leandy Castro,UU,5/27/2022,BB,7,1,3,0,0,0,0,1,,,,,,,
Noah Childress,UU,5/27/2022,BB,0,1,2,0,1,1,1,0,,,,,,,
Kevin Lambert,UU,5/27/2022,BB,6,1,2,0,1,0,0,0,1,,,,1,,
Luis Atiles,UU,5/27/2022,BB,6,1,0,0,0,0,0,0,,,,,,,
Matt Parkinson,UU,5/27/2022,BB,2,1,3,1,2,0,0,0,,,,,,,
Duncan Hewitt,UU,5/27/2022,BB,2,1,0,1,0,0,0,0,,,,,,,
Jonathan Hodo,UU,5/27/2022,BB,4,1,3,1,2,0,0,0,,,,,,,
Nick Caruso,WM,5/28/2022,DH,2,1,5,0,0,1,0,0,,,,1,,,
Tanner Thomas,WM,5/28/2022,DH,7,1,5,1,1,0,0,2,,,,,,,
Trent Bauer,WM,5/28/2022,DH,0,1,5,0,2,2,0,0,,,,,,,
Greg Vaughn Jr.,WM,5/28/2022,DH,9,1,4,0,1,0,1,2,,,,,,,
Houston Parker,WM,5/28/2022,DH,5,1,3,1,1,1,1,0,,,1,,,,
Wade Weinburger Jr.,WM,5/28/2022,DH,8,1,3,1,0,0,1,0,,,,1,,,
Gunner Rainey,WM,5/28/2022,DH,4,1,3,1,0,0,1,2,,,,1,,,
Buddy Dewaine Jr.,WM,5/28/2022,DH,3,1,4,1,1,0,0,2,,,,,,,
Keshawn Lynch,WM,5/28/2022,DH,6,1,4,1,1,2,0,0,1,,,,,,
Juan Lopez-Rios,DH,5/28/2022,WM,4,1,4,1,1,1,1,1,,,1,,,,
Alex Pup,DH,5/28/2022,WM,6,1,5,1,2,0,0,1,,,,,,,
Blake Porter,DH,5/28/2022,WM,8,1,5,0,0,0,0,1,,,,,,,
Joe Burke,DH,5/28/2022,WM,3,1,4,1,1,1,1,2,,,,,,,
Sean Lawlar,DH,5/28/2022,WM,0,1,1,0,1,0,4,0,,,,1,,,
Andrew Bayard,DH,5/28/2022,WM,7,1,5,0,0,1,0,3,,,,,,,
Griffin Schneider,DH,5/28/2022,WM,9,1,3,0,0,0,1,1,,,,,,,
Chris De Los Santos,DH,5/28/2022,WM,9,1,1,0,0,0,0,1,,,,,,,
Michael Luker,DH,5/28/2022,WM,2,1,3,0,0,0,0,2,,,,,,,
Nicholas Kreutzer,DH,5/28/2022,WM,2,1,1,0,0,0,0,1,,,,,,,
Whit Hughes,DH,5/28/2022,WM,2,1,0,0,0,0,0,0,,,,,,,
Walker Paz,DH,5/28/2022,WM,5,1,2,0,0,0,1,1,,,,,,1,
Drue Galassi,UU,5/29/2022,WM,9,1,5,1,2,1,0,2,,,1,,,,
Luis Atiles,UU,5/29/2022,WM,6,1,4,2,1,1,1,0,,,,,,,
Ari Sechopoulos,UU,5/29/2022,WM,7,1,5,2,3,4,0,0,1,,2,,,,
Leandy Castro,UU,5/29/2022,WM,8,1,3,1,1,1,2,1,,,1,,,,
Malek Bolin,UU,5/29/2022,WM,0,1,4,0,1,0,0,1,,,,,,,
Jonathan Hodo,UU,5/29/2022,WM,0,1,0,1,0,0,0,0,,,,1,,,
Noah Childress,UU,5/29/2022,WM,3,1,3,1,2,1,0,1,,,,,,,
Kevin Lambert,UU,5/29/2022,WM,3,1,0,1,0,0,0,0,,,,,,,
Duncan Hewitt,UU,5/29/2022,WM,2,1,1,1,0,0,2,0,,,,,,,
Adam De La Cruz,UU,5/29/2022,WM,5,1,3,2,2,1,1,0,,,,1,,,
Erick Ramirez,UU,5/29/2022,WM,4,1,4,1,1,4,0,2,,,1,,,,
Nick Caruso,WM,5/29/2022,UU,3,1,4,0,0,0,0,1,,,,,,,
Tanner Thomas,WM,5/29/2022,UU,8,1,4,1,2,0,0,0,,,,1,,,
Trent Bauer,WM,5/29/2022,UU,2,1,4,1,2,0,0,0,1,,,,,,
Greg Vaughn Jr.,WM,5/29/2022,UU,9,1,2,2,2,1,2,0,,,,,,,
Houston Parker,WM,5/29/2022,UU,4,1,4,0,1,1,0,1,1,,,,,,
Wade Weinburger Jr.,WM,5/29/2022,UU,0,1,4,0,1,0,0,0,,,,,,,
Dakota McFadden,WM,5/29/2022,UU,5,1,3,1,2,1,0,0,,,1,,,,
Elijah Brown,WM,5/29/2022,UU,7,1,2,0,0,0,1,0,,,,1,,,
Keshawn Lynch,WM,5/29/2022,UU,6,1,3,0,1,0,0,0,,,,,,,
Juan Lopez-Rios,DH,5/30/2022,BB,4,1,4,0,0,0,0,1,,,,,,,
Alex Pup,DH,5/30/2022,BB,6,1,2,0,1,0,1,0,,,,,,,
Blake Porter,DH,5/30/2022,BB,8,1,3,0,1,0,0,1,,,,,,,
Joe Burke,DH,5/30/2022,BB,3,1,3,0,1,0,0,0,,,,,,,
Nicholas Kreutzer,DH,5/30/2022,BB,0,1,3,0,0,0,0,1,,,,,,,
Chris De Los Santos,DH,5/30/2022,BB,5,1,2,0,0,0,0,0,,,,,,,
Walker Paz,DH,5/30/2022,BB,5,1,1,0,1,0,0,0,,,,,,,
Andrew Bayard,DH,5/30/2022,BB,7,1,3,0,0,0,0,1,,,,,,,
Whit Hughes,DH,5/30/2022,BB,2,1,2,0,0,0,0,1,,,,,,,
Sean Lawlar,DH,5/30/2022,BB,2,1,1,0,1,0,0,0,,,,,,,
Griffin Schneider,DH,5/30/2022,BB,9,1,3,0,2,0,0,0,,,,,,,
Tylor Frailey,BB,5/30/2022,DH,8,1,3,0,1,0,1,0,,,,,1,,
Cameron Collett,BB,5/30/2022,DH,6,1,4,0,2,1,0,0,,,,1,,,
Marques Paige,BB,5/30/2022,DH,4,1,2,0,1,0,1,1,,,,,,,
Cody Stevenson,BB,5/30/2022,DH,4,1,1,0,0,0,0,1,,,,,,,
Ryan Sullivan,BB,5/30/2022,DH,3,1,3,0,0,0,0,2,,,,,,,
Eric Whitfield,BB,5/30/2022,DH,2,1,3,1,2,0,0,0,,,,1,,,
Omar Ortiz,BB,5/30/2022,DH,2,1,0,0,0,0,0,0,,,,,,,
Neifi Mercedes,BB,5/30/2022,DH,5,1,2,1,0,0,0,1,,,,,,1,
Ray Peng,BB,5/30/2022,DH,0,1,2,0,0,0,1,2,,,,,,,
Travious Ford,BB,5/30/2022,DH,9,1,3,1,1,3,0,0,,,1,,,,
SeyJuan Lawrence,BB,5/30/2022,DH,7,1,3,1,1,0,0,0,1,,,,,,
Juan Lopez-Rios,DH,6/3/2022,WM,4,1,5,0,0,0,0,2,,,,,,,
Alex Pup,DH,6/3/2022,WM,6,1,4,1,1,0,1,1,,,,,,,
Blake Porter,DH,6/3/2022,WM,8,1,5,0,1,0,0,1,,,,,,,
Joe Burke,DH,6/3/2022,WM,3,1,3,2,2,3,1,0,,,2,,,,
Sean Lawlar,DH,6/3/2022,WM,7,1,3,0,1,0,1,1,,,,,,,
Nicholas Kreutzer,DH,6/3/2022,WM,0,1,4,2,2,2,0,1,,,2,,,,
Whit Hughes,DH,6/3/2022,WM,2,1,4,0,1,0,0,2,,,,,,,
Walker Paz,DH,6/3/2022,WM,5,1,4,0,1,0,0,2,,,,1,,,
Griffin Schneider,DH,6/3/2022,WM,9,1,3,0,0,0,1,1,,,,,,,
Nick Caruso,WM,6/3/2022,DH,2,1,4,1,0,0,1,0,,,,,,,
Tanner Thomas,WM,6/3/2022,DH,8,1,4,1,1,3,1,0,,,,1,,,
Nathan Aide,WM,6/3/2022,DH,0,1,4,0,2,3,1,0,,,,,,,
Greg Vaughn Jr.,WM,6/3/2022,DH,9,1,4,0,0,0,1,1,,,,,,,
Dakota McFadden,WM,6/3/2022,DH,3,1,5,1,1,0,0,1,,,,,,,
Gunner Rainey,WM,6/3/2022,DH,4,1,4,2,1,0,1,0,1,,,,,,
Wade Weinburger Jr.,WM,6/3/2022,DH,7,1,4,3,2,3,1,1,,,1,1,,,
Buddy Dewaine Jr.,WM,6/3/2022,DH,5,1,4,2,2,2,1,1,1,,,1,,,
Keshawn Lynch,WM,6/3/2022,DH,6,1,2,2,1,0,1,1,,,,1,,1,
Tylor Frailey,BB,6/4/2022,DH,9,1,4,0,1,0,0,2,,,,,,,
Cameron Collett,BB,6/4/2022,DH,6,1,3,0,0,0,1,2,,,,,,,
Marques Paige,BB,6/4/2022,DH,4,1,3,0,0,0,0,1,,,,,,,
Cody Stevenson,BB,6/4/2022,DH,4,1,1,0,0,0,0,0,,,,,,,
Ryan Sullivan,BB,6/4/2022,DH,3,1,3,0,0,0,0,2,,,,,,1,
Eric Whitfield,BB,6/4/2022,DH,2,1,3,0,0,0,0,0,,,,,,,
Omar Ortiz,BB,6/4/2022,DH,2,1,1,0,0,0,0,0,,,,,,,
Neifi Mercedes,BB,6/4/2022,DH,5,1,2,1,0,0,1,1,,,,,,,
Erick Ramirez,BB,6/4/2022,DH,0,1,2,0,0,0,1,2,,,,,,,
Travious Ford,BB,6/4/2022,DH,8,1,3,0,2,0,0,0,1,,,,,,
SeyJuan Lawrence,BB,6/4/2022,DH,7,1,3,0,0,0,0,1,,,,,,,
Alex Pup,DH,6/4/2022,BB,6,1,4,1,1,2,1,1,,,,1,,,
Blake Porter,DH,6/4/2022,BB,8,1,5,1,2,2,0,1,,,,,,,
Joe Burke,DH,6/4/2022,BB,3,1,4,0,0,0,1,0,,,,,,,
Nicholas Kreutzer,DH,6/4/2022,BB,0,1,4,0,1,0,0,1,,,,,,,
Sean Lawlar,DH,6/4/2022,BB,9,1,4,1,2,0,0,1,,,,,,,
Chris De Los Santos,DH,6/4/2022,BB,5,1,2,0,0,0,1,2,,,,1,,1,
Andrew Bayard,DH,6/4/2022,BB,7,1,3,1,0,0,1,1,,,,,,,
Michael Luker,DH,6/4/2022,BB,2,1,2,1,0,0,1,1,,,,,,1,
Walker Paz,DH,6/4/2022,BB,4,1,1,2,0,0,2,0,,,,,,1,
Nick Caruso,WM,6/5/2022,UU,2,1,5,0,1,1,0,1,,,,,,,
Tanner Thomas,WM,6/5/2022,UU,8,1,5,1,4,1,0,0,1,,,1,1,,
Nathan Aide,WM,6/5/2022,UU,7,1,5,1,1,1,0,3,,,,1,,,
Greg Vaughn Jr.,WM,6/5/2022,UU,9,1,4,0,0,1,1,2,,,,,,,
Dakota McFadden,WM,6/5/2022,UU,3,1,4,0,0,0,0,1,,,,,,,
Houston Parker,WM,6/5/2022,UU,4,1,2,0,0,0,0,1,,,,,1,2,
Gunner Rainey,WM,6/5/2022,UU,0,1,4,0,1,0,0,2,,,,,,,
Buddy Dewaine Jr.,WM,6/5/2022,UU,5,1,4,0,0,0,0,2,,,,,,,
Elijah Brown,WM,6/5/2022,UU,6,1,3,2,1,0,1,1,,1,,,,,
Drue Galassi,UU,6/5/2022,WM,8,1,4,2,2,0,1,1,,1,,,,,
Luis Atiles,UU,6/5/2022,WM,6,1,4,0,0,0,1,1,,,,,,,
Ari Sechopoulos,UU,6/5/2022,WM,7,1,5,1,0,1,0,2,,,,,,,
Leandy Castro,UU,6/5/2022,WM,9,1,5,0,1,1,0,2,,,,,,,
Noah Childress,UU,6/5/2022,WM,0,1,4,0,0,0,1,0,,,,,,,
Malek Bolin,UU,6/5/2022,WM,3,1,5,0,0,1,0,0,,,,,,,
Duncan Hewitt,UU,6/5/2022,WM,2,1,2,0,0,0,0,1,,,,,,,
Matt Parkinson,UU,6/5/2022,WM,2,1,2,1,0,0,0,0,,,,,,,
Kevin Lambert,UU,6/5/2022,WM,5,1,4,0,1,1,0,2,,,,,,,
Jonathan Hodo,UU,6/5/2022,WM,4,1,4,1,1,0,0,2,,,,,,,
Tylor Frailey,BB,6/7/2022,WM,8,1,5,0,1,0,0,3,,,,,,,
Cody Stevenson,BB,6/7/2022,WM,4,1,3,0,1,0,2,0,,,,,,,
Cameron Collett,BB,6/7/2022,WM,0,1,5,0,1,0,0,2,,,,,,,
Eric Whitfield,BB,6/7/2022,WM,3,1,4,0,2,0,0,0,,,,,,,
Neifi Mercedes,BB,6/7/2022,WM,5,1,4,0,0,0,0,1,,,,,,,
Ryan Sullivan,BB,6/7/2022,WM,9,1,4,1,1,1,0,2,,,1,,,,
Erick Ramirez,BB,6/7/2022,WM,6,1,4,1,1,0,0,1,,,,,,,
Omar Ortiz,BB,6/7/2022,WM,2,1,4,0,1,0,0,1,,,,,,,
SeyJuan Lawrence,BB,6/7/2022,WM,7,1,4,0,0,1,0,1,,,,,,,
Greg Vaughn Jr.,WM,6/7/2022,BB,9,1,4,1,1,3,0,0,,,1,,,,
Tanner Thomas,WM,6/7/2022,BB,0,1,4,0,0,0,0,2,,,,,,,
Nathan Aide,WM,6/7/2022,BB,7,1,4,0,2,0,0,1,1,,,,,,
Wade Weinburger Jr.,WM,6/7/2022,BB,8,1,4,1,1,0,0,0,,1,,,,,
Dakota McFadden,WM,6/7/2022,BB,3,1,4,1,1,2,0,1,,,1,,,,
Houston Parker,WM,6/7/2022,BB,5,1,3,1,0,0,0,1,,,,,,1,
Gunner Rainey,WM,6/7/2022,BB,2,1,4,1,1,0,0,1,,,,,,,
Keshawn Lynch,WM,6/7/2022,BB,4,1,3,1,1,0,1,0,,,,,1,,
Elijah Brown,WM,6/7/2022,BB,6,1,4,2,2,3,0,0,1,1,,,,,
Drue Galassi,UU,6/9/2022,BB,8,1,2,1,0,0,2,0,,,,1,,,
Malek Bolin,UU,6/9/2022,BB,3,1,4,1,1,0,0,1,,,,,,,
Leandy Castro,UU,6/9/2022,BB,9,1,4,1,1,0,0,1,,,,1,,,
Ari Sechopoulos,UU,6/9/2022,BB,7,1,4,1,1,0,0,1,,,,,,,
Noah Childress,UU,6/9/2022,BB,0,1,4,0,3,0,0,0,1,,,,,,
Kevin Lambert,UU,6/9/2022,BB,5,1,3,0,0,0,0,0,,,,,,1,
Luis Atiles,UU,6/9/2022,BB,6,1,4,0,0,0,0,2,,,,,,,
Duncan Hewitt,UU,6/9/2022,BB,2,1,3,0,0,0,0,2,,,,,,,
Jonathan Hodo,UU,6/9/2022,BB,4,1,2,0,0,0,0,1,,,,1,,1,
Tylor Frailey,BB,6/9/2022,UU,8,1,3,1,1,0,1,1,,,,,,,
Erick Ramirez,BB,6/9/2022,UU,5,1,4,1,1,0,0,1,,,,,,,
Cameron Collett,BB,6/9/2022,UU,6,1,4,1,1,0,0,1,,,,1,,,
Ryan Sullivan,BB,6/9/2022,UU,3,1,3,0,0,1,1,1,,,,,,,
Eric Whitfield,BB,6/9/2022,UU,7,1,4,0,2,2,0,1,,,,,,,
Marques Paige,BB,6/9/2022,UU,4,1,3,0,0,0,0,1,,,,,,,
Cody Stevenson,BB,6/9/2022,UU,4,1,0,0,0,0,1,0,,,,,,,
Josh Wunnenberg,BB,6/9/2022,UU,2,1,4,0,1,0,0,3,,,,,,,
Neifi Mercedes,BB,6/9/2022,UU,0,1,3,0,0,0,1,2,,,,,,,
SeyJuan Lawrence,BB,6/9/2022,UU,9,1,3,0,1,0,1,1,,,,,,,
Alex Pup,DH,6/10/2022,WM,6,1,4,0,0,0,1,1,,,,1,,,
Blake Porter,DH,6/10/2022,WM,8,1,4,1,1,0,1,3,,,,,,,
Joe Burke,DH,6/10/2022,WM,3,1,4,1,1,2,1,0,,,1,,,,
Nicholas Kreutzer,DH,6/10/2022,WM,0,1,5,0,0,0,0,3,,,,,,,
Sean Lawlar,DH,6/10/2022,WM,7,1,2,0,0,0,3,1,,,,,,,
Chris De Los Santos,DH,6/10/2022,WM,5,1,5,0,1,0,0,0,,,,,,,
Walker Paz,DH,6/10/2022,WM,4,1,2,0,0,0,2,1,,,,1,,,
Michael Luker,DH,6/10/2022,WM,2,1,1,0,0,0,3,1,,,,,,,
Griffin Schneider,DH,6/10/2022,WM,9,1,3,0,0,0,0,2,,,,,,,
Andrew Bayard,DH,6/10/2022,WM,9,1,1,1,1,0,0,0,,,,,,,
Nathan Aide,WM,6/10/2022,DH,7,1,5,0,0,0,0,4,,,,,,,
Tanner Thomas,WM,6/10/2022,DH,8,1,3,0,0,1,2,1,,,,1,,,
Nick Caruso,WM,6/10/2022,DH,2,1,5,0,0,0,0,1,,,,,,,
Greg Vaughn Jr.,WM,6/10/2022,DH,0,1,4,0,0,0,0,2,,,,1,,,
Wade Weinburger Jr.,WM,6/10/2022,DH,9,1,3,0,1,0,1,1,,,,,,,
Dakota McFadden,WM,6/10/2022,DH,3,1,4,0,0,0,0,1,,,,,,,
Buddy Dewaine Jr.,WM,6/10/2022,DH,5,1,4,1,1,0,0,0,,1,,,,,
Houston Parker,WM,6/10/2022,DH,4,1,4,1,2,1,0,2,,,,,,,
Elijah Brown,WM,6/10/2022,DH,6,1,2,1,0,0,2,1,,,,2,,,
Tylor Frailey,BB,6/11/2022,UU,8,1,4,0,1,0,0,1,,,,,,,
Marques Paige,BB,6/11/2022,UU,0,1,3,0,0,0,0,2,,,,,,1,
Eric Whitfield,BB,6/11/2022,UU,9,1,4,0,0,0,0,2,,,,,,,
Erick Ramirez,BB,6/11/2022,UU,6,1,3,2,1,0,1,0,1,,,1,,,
Ryan Sullivan,BB,6/11/2022,UU,3,1,3,0,2,0,1,1,,,,,,,
Cody Stevenson,BB,6/11/2022,UU,4,1,4,0,1,1,0,1,,,,1,,,
Neifi Mercedes,BB,6/11/2022,UU,5,1,4,0,0,0,0,0,,,,,,,
Omar Ortiz,BB,6/11/2022,UU,2,1,0,0,0,0,0,0,,,,,,,
Josh Wunnenberg,BB,6/11/2022,UU,2,1,2,0,0,0,1,1,,,,,,,
SeyJuan Lawrence,BB,6/11/2022,UU,7,1,3,0,0,0,0,0,,,,,,,
Drue Galassi,UU,6/11/2022,BB,8,1,3,1,0,0,2,2,,,,1,,,
Adam De La Cruz,UU,6/11/2022,BB,7,1,2,0,0,0,2,1,,,,,,,
Ari Sechopoulos,UU,6/11/2022,BB,3,1,3,1,1,1,1,2,,,1,,,,
Leandy Castro,UU,6/11/2022,BB,9,1,3,0,0,1,0,3,,,,,,,1
