Player,Team,Date,Opponent,Position,Game,AB,R,H,RBI,BB,SO,2B,3B,HR,SB,CS,HBP,SF
JD Stubbs,BB,8/5/2022,DH,3,1,4,0,0,0,0,2,,,,,,,
Cameron Collett,BB,8/5/2022,DH,5,1,3,0,1,0,0,1,,,,,,,
Travious Ford,BB,8/5/2022,DH,7,1,2,1,1,0,1,1,,,,,1,,
Alex Pup,DH,8/5/2022,BB,6,1,4,0,1,0,0,1,,,,,,,
Christian Perez,DH,8/5/2022,BB,4,1,4,0,0,0,0,0,,,,,,,
Blake Porter,DH,8/5/2022,BB,8,1,3,1,0,0,1,1,,,,,,,
Joe Burke,DH,8/5/2022,BB,0,1,3,1,0,0,1,2,,,,,,,
Noah Marcoux,DH,8/5/2022,BB,3,1,4,1,2,0,0,1,,,,,,,
Bryant Shellenbarger,DH,8/5/2022,BB,9,1,3,1,1,2,0,0,,,,,,,
Scott Combs,DH,8/5/2022,BB,2,1,3,0,1,0,0,2,,,,,,,
Sean Lawlar,DH,8/5/2022,BB,7,1,3,0,1,2,0,2,,,,,,,
Christian Fedko,DH,8/5/2022,BB,5,1,3,0,0,0,0,2,,,,,,,
Jonathan Hodo,UU,8/6/2022,WM,4,1,4,0,0,0,0,1,,,,,,,
Luis Atiles,UU,8/6/2022,WM,6,1,4,3,3,0,0,0,1,,,,,,
Drue Galassi,UU,8/6/2022,WM,8,1,3,2,2,3,1,1,,,1,,,,
Ari Sechopoulos,UU,8/6/2022,WM,3,1,2,2,2,3,1,0,,,1,,,,
Noah Childress,UU,8/6/2022,WM,0,1,3,0,2,0,0,0,,,,,,,
Jake Martin,UU,8/6/2022,WM,R,1,0,0,0,0,0,0,,,,,,,
Kevin Lambert,UU,8/6/2022,WM,5,1,3,0,0,0,0,1,,,,,,,
Leandy Castro,UU,8/6/2022,WM,9,1,3,0,1,0,0,0,,,,,,,
Adam De La Cruz,UU,8/6/2022,WM,7,1,2,0,0,0,1,0,,,,,,,
Matt Parkinson,UU,8/6/2022,WM,2,1,3,0,0,0,0,3,,,,,,,
Tanner Thomas,WM,8/6/2022,UU,8,1,4,0,1,1,0,0,,,,,,,
Mitch Moralez,WM,8/6/2022,UU,4,1,4,1,2,0,0,0,,,,1,,,
Connor Emmet,WM,8/6/2022,UU,9,1,2,2,1,1,1,0,1,,,,1,1,
Houston Parker,WM,8/6/2022,UU,5,1,2,1,1,2,1,0,,,1,,,,
Bryan Leef,WM,8/6/2022,UU,7,1,3,0,1,0,0,0,,,,,,,
Duncan Hewitt,WM,8/6/2022,UU,2,1,3,0,0,0,0,1,,,,,,,
Connor Bagnieski,WM,8/6/2022,UU,5,1,0,0,0,0,0,0,,,,,,,
Greg Vaughn Jr.,WM,8/6/2022,UU,0,1,2,0,1,0,0,1,1,,,,,,
Wade Weinburger Jr.,WM,8/6/2022,UU,0,1,0,1,0,0,0,0,,,,,,1,
Elijah Brown,WM,8/6/2022,UU,3,1,3,1,2,0,0,1,,,,2,,,
Buddy Dewaine Jr.,WM,8/6/2022,UU,6,1,2,0,0,0,1,1,,,,,,,
Alex Pup,DH,8/7/2022,BB,6,1,5,1,1,1,0,0,,,,,,,
Blake Porter,DH,8/7/2022,BB,8,1,3,2,0,0,2,1,,,,2,,,
Yadi Rivera,DH,8/7/2022,BB,5,1,3,0,0,1,0,0,,,,,,,1
Joe Burke,DH,8/7/2022,BB,3,1,3,0,0,0,0,0,,,,,,1,
Noah Marcoux,DH,8/7/2022,BB,7,1,3,1,2,1,1,0,,,,,,,
Nicholas Kreutzer,DH,8/7/2022,BB,0,1,4,0,1,0,0,1,,,,,,,
Scott Combs,DH,8/7/2022,BB,2,1,4,1,1,0,0,0,1,,,,,,
Bryant Shellenbarger,DH,8/7/2022,BB,9,1,4,1,2,0,0,1,1,,,,,,
Christian Perez,DH,8/7/2022,BB,4,1,3,1,1,1,0,1,,,,1,,,
Christian Fedko,DH,8/7/2022,BB,4,1,1,0,0,0,0,0,,,,,,,
Marcos Castillo,BB,8/7/2022,DH,8,1,5,1,2,1,0,1,,,1,,,,
Travious Ford,BB,8/7/2022,DH,7,1,5,1,2,0,0,1,,,,1,,,
Dakota McFadden,BB,8/7/2022,DH,0,1,5,1,3,1,0,0,,,1,,,,
Felix Aberouette,BB,8/7/2022,DH,2,1,4,0,0,0,1,2,,,,,,,
Eric Whitfield,BB,8/7/2022,DH,9,1,4,1,2,1,0,1,1,,,,,,
Ryan Sullivan,BB,8/7/2022,DH,3,1,4,0,1,1,0,1,,,,,,,
Cameron Collett,BB,8/7/2022,DH,6,1,4,0,1,0,0,2,,,,,,,
Erick Ramirez,BB,8/7/2022,DH,5,1,4,0,0,0,0,2,,,,,,,
Luke Fennelly,BB,8/7/2022,DH,4,1,0,0,0,0,0,0,,,,,,,
Wellington Guzman,BB,8/7/2022,DH,6,1,4,1,2,1,0,1,,,1,,,,
Tanner Thomas,WM,8/9/2022,BB,8,1,3,0,1,1,1,1,,,,1,1,,
Elijah Brown,WM,8/9/2022,BB,3,1,4,1,2,0,0,2,1,,,3,,,
Greg Vaughn Jr.,WM,8/9/2022,BB,0,1,3,0,0,0,1,2,,,,,,,
Houston Parker,WM,8/9/2022,BB,2,1,3,0,1,0,0,2,,,,,,1,
Bryan Leef,WM,8/9/2022,BB,7,1,4,1,1,1,0,1,,,1,,,,
Connor Bagnieski,WM,8/9/2022,BB,6,1,1,0,0,0,3,1,,,,3,1,,
Buddy Dewaine Jr.,WM,8/9/2022,BB,5,1,4,0,0,0,0,2,,,,,,,
Wade Weinburger Jr.,WM,8/9/2022,BB,9,1,2,1,0,0,1,1,,,,,,,
Mitch Moralez,WM,8/9/2022,BB,4,1,3,1,1,0,0,1,,,,,,,
Travious Ford,BB,8/9/2022,WM,9,1,3,0,0,0,2,1,,,,,,,
Marcos Castillo,BB,8/9/2022,WM,8,1,5,1,1,2,0,1,,,,,,,
Dakota McFadden,BB,8/9/2022,WM,3,1,3,0,2,2,2,0,,,,,1,,
Felix Aberouette,BB,8/9/2022,WM,0,1,2,0,2,0,2,0,,,,,,,
Ryan Sullivan,BB,8/9/2022,WM,5,1,3,0,0,0,1,1,,,,,,,
Cameron Collett,BB,8/9/2022,WM,4,1,3,1,1,0,1,1,,,,,,,
Wellington Guzman,BB,8/9/2022,WM,6,1,3,1,1,0,1,1,,,,,,,
Erick Ramirez,BB,8/9/2022,WM,2,1,4,1,1,1,0,1,,,,,,,
Chris Davis,BB,8/9/2022,WM,7,1,2,1,0,0,2,1,,,,,,,
Leandy Castro,UU,8/10/2022,DH,9,1,6,1,1,0,0,3,,,,,,,
Drue Galassi,UU,8/10/2022,DH,8,1,4,2,2,5,1,0,,,2,1,,,
Ari Sechopoulos,UU,8/10/2022,DH,3,1,1,1,0,0,4,0,,,,,,,
Noah Childress,UU,8/10/2022,DH,0,1,3,0,0,0,1,0,,,,,,,
Alexander Brunson,UU,8/10/2022,DH,0,1,1,1,1,0,0,0,,,,,,,
Kevin Lambert,UU,8/10/2022,DH,5,1,4,1,1,1,1,1,,,,,,,
Malek Bolin,UU,8/10/2022,DH,7,1,3,0,0,0,1,1,,,,,,,
Adam De La Cruz,UU,8/10/2022,DH,7,1,1,1,0,0,0,0,,,,,,,
Luis Atiles,UU,8/10/2022,DH,6,1,4,2,1,1,1,1,1,,,,,,
Matt Parkinson,UU,8/10/2022,DH,2,1,5,1,2,3,0,2,,,,,,,
Jonathan Hodo,UU,8/10/2022,DH,4,1,5,1,1,0,0,0,,,,,,,
Alex Pup,DH,8/10/2022,UU,6,1,3,0,0,0,1,0,,,,,,,
Blake Porter,DH,8/10/2022,UU,8,1,4,0,0,0,0,3,,,,,,,
Yadi Rivera,DH,8/10/2022,UU,5,1,4,0,1,0,0,1,,,,,,,
Joe Burke,DH,8/10/2022,UU,3,1,4,0,1,0,0,2,,,,,,,
Noah Marcoux,DH,8/10/2022,UU,0,1,3,0,0,0,1,1,,,,,,,
Scott Combs,DH,8/10/2022,UU,2,1,2,0,0,0,1,0,,,,,,,
Bryant Shellenbarger,DH,8/10/2022,UU,9,1,3,0,0,0,0,1,,,,,,,
Sean Lawlar,DH,8/10/2022,UU,7,1,3,0,1,0,0,1,,,,,,,
Christian Fedko,DH,8/10/2022,UU,4,1,3,0,0,0,0,1,,,,,,,
Tanner Thomas,WM,8/11/2022,BB,8,1,6,0,2,1,0,2,,,,,,,
Elijah Brown,WM,8/11/2022,BB,3,1,4,3,2,0,1,2,,,,3,,,
Connor Emmet,WM,8/11/2022,BB,9,1,4,1,1,1,1,2,,,,,,,
Houston Parker,WM,8/11/2022,BB,5,1,4,1,2,1,0,1,,,,,,1,
Bryan Leef,WM,8/11/2022,BB,0,1,5,0,2,0,0,3,,,,,,,
Sam Loda,WM,8/11/2022,BB,2,1,3,1,2,2,2,0,1,,,,,,
Connor Bagnieski,WM,8/11/2022,BB,6,1,4,0,0,0,1,2,,,,,,,
Buddy Dewaine Jr.,WM,8/11/2022,BB,7,1,5,0,0,0,0,2,,,,1,,,
Mitch Moralez,WM,8/11/2022,BB,4,1,3,0,1,0,1,1,1,,,1,,1,
Marcos Castillo,BB,8/11/2022,WM,8,1,2,0,0,0,1,0,,,,,,1,
JD Stubbs,BB,8/11/2022,WM,3,1,3,0,2,1,0,0,1,,,,,,1
Dakota McFadden,BB,8/11/2022,WM,0,1,2,1,0,0,2,1,,,,,,,
Felix Aberouette,BB,8/11/2022,WM,2,1,4,0,1,1,0,1,1,,,,,,
Eric Whitfield,BB,8/11/2022,WM,9,1,4,0,1,0,0,1,,,,,,,
Cameron Collett,BB,8/11/2022,WM,6,1,4,0,1,0,0,2,,,,,,,
Ryan Sullivan,BB,8/11/2022,WM,5,1,4,0,0,0,0,3,,,,,,,
Erick Ramirez,BB,8/11/2022,WM,4,1,4,1,1,0,0,1,,,,,,,
Chris Davis,BB,8/11/2022,WM,7,1,3,0,1,0,0,1,,,,,,,
Mitch Moralez,WM,8/12/2022,UU,4,1,5,0,0,0,0,2,,,,,,,
Elijah Brown,WM,8/12/2022,UU,3,1,3,1,1,0,1,0,,,,1,,,
Connor Emmet,WM,8/12/2022,UU,9,1,3,1,1,0,1,1,,,,,1,,
Houston Parker,WM,8/12/2022,UU,5,1,3,0,1,0,1,0,,,,,,,
Bryan Leef,WM,8/12/2022,UU,8,1,4,0,2,1,0,1,,,,,,,
Greg Vaughn Jr.,WM,8/12/2022,UU,7,1,3,0,1,0,1,0,,,,,,,
Buddy Dewaine Jr.,WM,8/12/2022,UU,7,1,0,0,0,0,0,0,,,,,,,
Sam Loda,WM,8/12/2022,UU,2,1,3,0,2,1,1,1,,,,,,,
Wade Weinburger Jr.,WM,8/12/2022,UU,0,1,3,0,1,0,0,1,,,,,,,
Tanner Thomas,WM,8/12/2022,UU,0,1,1,0,0,0,0,1,,,,,,,
Connor Bagnieski,WM,8/12/2022,UU,6,1,3,1,0,0,1,1,,,,2,,,
Leandy Castro,UU,8/12/2022,WM,9,1,4,0,0,0,0,2,,,,,,,
Malek Bolin,UU,8/12/2022,WM,7,1,1,0,0,0,0,0,,,,,,,
Luis Atiles,UU,8/12/2022,WM,6,1,3,1,2,1,0,0,1,,,1,,1,
Drue Galassi,UU,8/12/2022,WM,8,1,3,0,0,0,1,1,,,,,,,
Ari Sechopoulos,UU,8/12/2022,WM,3,1,2,0,0,0,2,2,,,,,,,
Noah Childress,UU,8/12/2022,WM,0,1,2,0,1,1,2,0,,,,,,,
Kevin Lambert,UU,8/12/2022,WM,5,1,3,0,0,0,0,1,,,,,,1,
Alexander Brunson,UU,8/12/2022,WM,7,1,3,0,1,0,1,0,,,,,,,
Adam De La Cruz,UU,8/12/2022,WM,7,1,0,0,0,0,0,0,,,,,1,,
Matt Parkinson,UU,8/12/2022,WM,2,1,3,0,1,0,1,0,,,,,,,
Jonathan Hodo,UU,8/12/2022,WM,4,1,4,1,0,0,0,0,,,,1,,,
Marcos Castillo,BB,8/13/2022,DH,9,1,3,0,0,0,0,2,,,,,,,
Travious Ford,BB,8/13/2022,DH,8,1,3,0,0,0,0,3,,,,,,,
Dakota McFadden,BB,8/13/2022,DH,5,1,2,0,1,0,0,0,,,,,,,
Felix Aberouette,BB,8/13/2022,DH,2,1,2,0,0,0,0,0,,,,,,,
Eric Whitfield,BB,8/13/2022,DH,7,1,2,0,1,0,0,1,,,,,,,
JD Stubbs,BB,8/13/2022,DH,3,1,2,0,0,0,0,1,,,,,,,
Cameron Collett,BB,8/13/2022,DH,4,1,2,0,0,0,0,1,,,,,,,
Erick Ramirez,BB,8/13/2022,DH,6,1,2,0,0,0,0,0,,,,,,,
Chris Davis,BB,8/13/2022,DH,0,1,2,0,0,0,0,1,,,,,,,
Alex Pup,DH,8/13/2022,BB,6,1,4,1,1,0,0,0,,,,,,,
Blake Porter,DH,8/13/2022,BB,8,1,2,2,1,2,0,0,,,,,,,
Yadi Rivera,DH,8/13/2022,BB,5,1,3,1,1,0,0,1,,,,,,,
Noah Marcoux,DH,8/13/2022,BB,7,1,3,0,2,2,0,0,,,,,,,
Joe Burke,DH,8/13/2022,BB,3,1,2,0,0,0,1,1,,,,,,,
Nicholas Kreutzer,DH,8/13/2022,BB,0,1,2,0,0,0,1,1,,,,,,,
Bryant Shellenbarger,DH,8/13/2022,BB,9,1,3,0,1,0,0,1,,,,,,,
Whit Hughes,DH,8/13/2022,BB,2,1,3,0,0,0,0,2,,,,,,,
Christian Perez,DH,8/13/2022,BB,4,1,2,1,2,0,1,0,,,,,,,
Travious Ford,BB,8/13/2022,DH,8,2,3,0,2,0,0,1,1,,,,,,
Marcos Castillo,BB,8/13/2022,DH,9,2,3,0,0,0,0,2,,,,1,,,
Dakota McFadden,BB,8/13/2022,DH,4,2,2,0,0,0,1,1,,,,,,,
Felix Aberouette,BB,8/13/2022,DH,0,2,2,0,0,0,1,1,,,,,,,
JD Stubbs,BB,8/13/2022,DH,3,2,2,0,0,0,0,1,,,,,,,
Eric Whitfield,BB,8/13/2022,DH,7,2,2,0,0,0,0,0,,,,,,,
Ryan Sullivan,BB,8/13/2022,DH,5,2,2,0,0,0,0,1,,,,,,,
Erick Ramirez,BB,8/13/2022,DH,2,2,2,0,0,0,0,1,,,,,1,,
Cameron Collett,BB,8/13/2022,DH,6,2,2,0,0,0,0,2,,,,,,,
Alex Pup,DH,8/13/2022,BB,6,2,3,1,1,0,0,1,,,,,,,
Blake Porter,DH,8/13/2022,BB,8,2,3,1,0,0,0,2,,,,1,,,
Yadi Rivera,DH,8/13/2022,BB,5,2,3,1,1,1,0,0,1,,,,,,
Noah Marcoux,DH,8/13/2022,BB,0,2,1,1,0,2,1,0,,,,,,,1
Nicholas Kreutzer,DH,8/13/2022,BB,3,2,2,1,1,0,1,1,,,,,,,
Scott Combs,DH,8/13/2022,BB,2,2,1,0,0,0,0,1,,,,,,1,
Bryant Shellenbarger,DH,8/13/2022,BB,9,2,2,0,0,0,0,0,,,,,,,
Sean Lawlar,DH,8/13/2022,BB,7,2,2,1,1,1,0,0,,,,,,,
Christian Fedko,DH,8/13/2022,BB,4,2,2,0,0,1,0,0,,,,1,,,
Jonathan Hodo,UU,8/14/2022,WM,4,1,4,2,2,1,1,2,,,,,,,
Luis Atiles,UU,8/14/2022,WM,6,1,3,2,0,0,0,0,,,,,,2,
Drue Galassi,UU,8/14/2022,WM,8,1,5,0,1,0,0,2,,,,,,,
Noah Childress,UU,8/14/2022,WM,0,1,4,0,1,2,0,0,1,,,,,,1
Ari Sechopoulos,UU,8/14/2022,WM,3,1,3,1,2,3,1,1,,,1,,,,
Malek Bolin,UU,8/14/2022,WM,7,1,4,0,1,0,0,1,,,,,,,
Alexander Brunson,UU,8/14/2022,WM,9,1,4,0,1,0,0,1,1,,,,,,
Adam De La Cruz,UU,8/14/2022,WM,5,1,3,1,1,0,1,0,,,,,,,
Matt Parkinson,UU,8/14/2022,WM,2,1,3,1,1,0,1,0,,,,,,,
Tanner Thomas,WM,8/14/2022,UU,8,1,5,0,0,0,0,3,,,,,,,
Elijah Brown,WM,8/14/2022,UU,3,1,5,1,4,0,0,0,,,,1,,,
Connor Emmet,WM,8/14/2022,UU,9,1,4,0,0,0,0,0,,,,,,1,
Houston Parker,WM,8/14/2022,UU,5,1,4,0,1,1,0,0,,,,,,,
Bryan Leef,WM,8/14/2022,UU,0,1,4,2,1,0,1,2,,,,1,,,
Greg Vaughn Jr.,WM,8/14/2022,UU,7,1,4,0,0,0,0,1,,,,,,,
Sam Loda,WM,8/14/2022,UU,2,1,4,2,3,2,0,1,,,1,,,,
Buddy Dewaine Jr.,WM,8/14/2022,UU,6,1,4,1,2,3,0,0,1,,1,1,,,
Mitch Moralez,WM,8/14/2022,UU,4,1,4,0,2,0,0,1,1,,,,,,
Marcos Castillo,BB,8/16/2022,WM,8,1,4,0,0,0,0,1,,,,,,,
Travious Ford,BB,8/16/2022,WM,9,1,3,1,0,0,1,2,,,,,,,
Dakota McFadden,BB,8/16/2022,WM,3,1,4,2,4,2,0,0,1,,1,,,,
Felix Aberouette,BB,8/16/2022,WM,2,1,4,0,0,0,0,0,,,,,,,
Eric Whitfield,BB,8/16/2022,WM,0,1,4,0,1,0,0,1,,,,,,,
Luke Fennelly,BB,8/16/2022,WM,4,1,4,0,2,1,0,1,,,,,,,
Chris Davis,BB,8/16/2022,WM,7,1,4,0,1,0,0,0,,,,,,,
Wellington Guzman,BB,8/16/2022,WM,6,1,4,0,0,0,0,3,,,,,,,
Cameron Collett,BB,8/16/2022,WM,5,1,4,0,1,0,0,0,,,,,,,
Connor Bagnieski,WM,8/16/2022,BB,6,1,4,0,0,0,0,1,,,,,,,
Elijah Brown,WM,8/16/2022,BB,3,1,2,0,0,0,1,0,,,,,,1,
Connor Emmet,WM,8/16/2022,BB,9,1,4,0,0,0,0,0,,,,,,,
Houston Parker,WM,8/16/2022,BB,5,1,4,0,0,0,0,2,,,,,,,
Greg Vaughn Jr.,WM,8/16/2022,BB,7,1,3,0,0,0,0,0,,,,,,,
Sam Loda,WM,8/16/2022,BB,2,1,3,0,1,0,0,2,,,,,,,
Buddy Dewaine Jr.,WM,8/16/2022,BB,8,1,3,0,1,0,0,0,,,,,,,
Mitch Moralez,WM,8/16/2022,BB,4,1,3,0,0,0,0,0,,,,,,,
Wade Weinburger Jr.,WM,8/16/2022,BB,0,1,2,0,0,0,0,0,,,,,,,
Bryan Leef,WM,8/16/2022,BB,0,1,1,0,1,0,0,0,,,,1,,,
Jonathan Hodo,UU,8/17/2022,DH,4,1,4,2,1,0,0,1,,,,,,1,
Luis Atiles,UU,8/17/2022,DH,6,1,5,1,1,0,0,2,,,,,1,,
Drue Galassi,UU,8/17/2022,DH,8,1,5,1,1,0,0,2,,,,,,,
Ari Sechopoulos,UU,8/17/2022,DH,3,1,3,0,0,1,0,3,,,,,,,1
Noah Childress,UU,8/17/2022,DH,0,1,2,0,1,0,2,0,,,,,,,
Leandy Castro,UU,8/17/2022,DH,R,1,0,1,0,0,0,0,,,,,,,
Adam De La Cruz,UU,8/17/2022,DH,5,1,3,0,1,2,0,0,,,,,,1,
Malek Bolin,UU,8/17/2022,DH,7,1,4,0,2,1,0,0,,,,,,,
Alexander Brunson,UU,8/17/2022,DH,9,1,3,0,0,0,0,3,,,,,,1,
Matt Parkinson,UU,8/17/2022,DH,2,1,3,0,0,0,0,1,,,,,,1,
Alex Pup,DH,8/17/2022,UU,6,1,4,1,1,1,1,1,,,,,,,
Blake Porter,DH,8/17/2022,UU,8,1,5,0,1,0,0,1,,,,,,,
Yadi Rivera,DH,8/17/2022,UU,5,1,5,0,2,0,0,0,,,,,,,
Noah Marcoux,DH,8/17/2022,UU,7,1,4,1,2,1,1,1,,,1,,,,
Joe Burke,DH,8/17/2022,UU,3,1,2,2,1,1,2,0,1,,,,,,1
Nicholas Kreutzer,DH,8/17/2022,UU,0,1,4,1,1,1,1,1,,,,,,,
Scott Combs,DH,8/17/2022,UU,2,1,4,1,2,0,0,0,,,,,,,
Bryant Shellenbarger,DH,8/17/2022,UU,H,1,0,0,0,0,0,0,,,,,,1,
Sean Lawlar,DH,8/17/2022,UU,9,1,5,0,2,2,0,2,,,,,,,
Christian Perez,DH,8/17/2022,UU,4,1,4,0,0,0,0,1,,,,,,,
Connor Emmet,WM,8/18/2022,UU,3,1,5,1,1,0,0,2,,,,,,1,
Houston Parker,WM,8/18/2022,UU,4,1,4,2,2,0,1,0,,1,,,,,
Bryan Leef,WM,8/18/2022,UU,7,1,5,2,2,1,0,3,1,,,,,,
Elijah Brown,WM,8/18/2022,UU,0,1,4,3,2,1,1,0,,,,1,,,
Greg Vaughn Jr.,WM,8/18/2022,UU,9,1,1,0,0,1,1,0,,,,,,,
Mitch Moralez,WM,8/18/2022,UU,7,1,2,2,0,0,0,0,,,,1,,1,
Sam Loda,WM,8/18/2022,UU,2,1,3,1,1,2,1,1,,,,,,,1
Buddy Dewaine Jr.,WM,8/18/2022,UU,5,1,3,1,1,1,2,2,,,,1,,,
Connor Bagnieski,WM,8/18/2022,UU,6,1,4,0,1,3,1,2,,,,1,,,
Tanner Thomas,WM,8/18/2022,UU,8,1,5,0,0,0,0,2,,,,,,,
Jonathan Hodo,UU,8/18/2022,WM,4,1,4,2,1,0,1,1,,,,,,,
Luis Atiles,UU,8/18/2022,WM,6,1,4,1,1,0,0,1,,,,,,1,
Drue Galassi,UU,8/18/2022,WM,8,1,5,2,3,1,0,1,,,,,,,
Ari Sechopoulos,UU,8/18/2022,WM,3,1,3,1,1,1,1,2,,,,,,,1
Noah Childress,UU,8/18/2022,WM,0,1,4,2,1,1,1,1,,,1,,,,
Malek Bolin,UU,8/18/2022,WM,7,1,4,2,3,5,1,0,1,,1,,,,
Kevin Lambert,UU,8/18/2022,WM,5,1,5,0,2,0,0,1,,,,,,,
Leandy Castro,UU,8/18/2022,WM,9,1,5,0,1,1,0,1,,,,,,,
Matt Parkinson,UU,8/18/2022,WM,2,1,3,0,1,0,0,0,,,,,,1,
Alex Pup,DH,8/19/2022,UU,6,1,2,1,0,0,2,0,,,,,1,,
Blake Porter,DH,8/19/2022,UU,8,1,4,0,0,0,0,2,,,,,,,
Yadi Rivera,DH,8/19/2022,UU,5,1,4,0,1,0,0,0,,,,1,,,
Noah Marcoux,DH,8/19/2022,UU,0,1,2,0,0,1,1,1,,,,,,,1
Joe Burke,DH,8/19/2022,UU,3,1,4,0,0,0,0,0,,,,,,,
Bryant Shellenbarger,DH,8/19/2022,UU,9,1,3,0,1,0,0,0,,,,1,,,
Scott Combs,DH,8/19/2022,UU,2,1,3,0,1,0,0,1,1,,,,,,
Sean Lawlar,DH,8/19/2022,UU,7,1,3,0,0,0,0,1,,,,,,,
Christian Fedko,DH,8/19/2022,UU,4,1,3,0,0,0,0,0,,,,,,,
Jonathan Hodo,UU,8/19/2022,DH,4,1,4,0,0,0,0,2,,,,,,,
Luis Atiles,UU,8/19/2022,DH,6,1,3,1,0,0,1,0,,,,,,,
Drue Galassi,UU,8/19/2022,DH,8,1,2,2,1,0,2,1,,,,1,,,
Ari Sechopoulos,UU,8/19/2022,DH,3,1,3,2,1,2,1,1,,,1,,,,
Noah Childress,UU,8/19/2022,DH,0,1,4,0,1,2,0,1,,,,,,,
Malek Bolin,UU,8/19/2022,DH,7,1,4,0,2,1,0,0,,,,,,,
Kevin Lambert,UU,8/19/2022,DH,5,1,3,0,0,0,0,1,,,,,,,
Adam De La Cruz,UU,8/19/2022,DH,9,1,3,0,0,0,0,1,,,,,,,
Matt Parkinson,UU,8/19/2022,DH,2,1,3,0,0,0,0,2,,,,,,,
Marcos Castillo,BB,8/20/2022,WM,8,1,4,0,1,0,0,1,,,,,,,
Travious Ford,BB,8/20/2022,WM,9,1,3,1,1,0,0,0,,,,1,,,
Dakota McFadden,BB,8/20/2022,WM,0,1,3,0,0,0,0,0,,,,,,,
Eric Whitfield,BB,8/20/2022,WM,7,1,3,0,0,0,0,0,,,,,,,
Felix Aberouette,BB,8/20/2022,WM,2,1,2,0,1,0,1,0,,,,,,,
Wellington Guzman,BB,8/20/2022,WM,6,1,1,1,0,0,2,0,,,,,,,
Ryan Sullivan,BB,8/20/2022,WM,3,1,2,1,1,0,0,0,,,,,,1,
Cameron Collett,BB,8/20/2022,WM,5,1,3,0,0,0,0,1,,,,,,,
Luke Fennelly,BB,8/20/2022,WM,4,1,3,0,1,2,0,0,,,,,,,
Connor Emmet,WM,8/20/2022,BB,9,1,3,0,0,0,0,1,,,,,,,
Houston Parker,WM,8/20/2022,BB,5,1,3,0,0,0,0,1,,,,,,,
Bryan Leef,WM,8/20/2022,BB,8,1,3,0,0,0,0,2,,,,,,,
Elijah Brown,WM,8/20/2022,BB,3,1,2,1,1,1,0,0,,,1,,,,
Sam Loda,WM,8/20/2022,BB,2,1,1,0,0,0,1,1,,,,,,,
